gender,highest_education,poverty,age,disability,num_of_prev_attempts,studied_credits,sum_click
0.0,0.25,0.0,0.5,0.0,0.0,0.1,0.0128013919960228
0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0032728477918634
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0152042422735935
0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0340541884166045
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.052572706935123
0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0206313696246582
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.031071339796172
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05,0.129878200347999
1.0,0.75,0.0,0.0,0.0,0.0,0.05,0.0460684398044577
1.0,0.25,0.0,0.0,0.0,0.0,0.15,0.0618112519678515
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.060154113845389
0.0,0.25,1.0,0.0,0.0,0.0,0.1,0.2196122296793437
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0030657055265556
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05,0.0137956748695003
1.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15,0.0036457038694175
1.0,0.75,1.0,0.0,0.0,0.0,0.05,0.0018228519347087
0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0345099014002817
1.0,0.25,0.0,0.5,0.0,0.0,0.05,0.0409727400778854
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05,0.0125528212776534
0.0,0.25,0.0,0.5,0.0,0.0,0.15,0.045654155273842
1.0,0.25,1.0,0.5,0.0,0.0,0.05,0.1535338470461513
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0841826166210953
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.1967851520424227
1.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05,0.0338884746043582
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0131742480735769
1.0,0.5,0.0,0.0,1.0,0.3333333333333333,0.05,0.1690695169442373
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0210042257022122
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.066119811086254
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0633441047311293
0.0,0.25,1.0,0.5,1.0,0.0,0.0,0.0352970420084514
1.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.1666666666666666,0.1730052199850857
1.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0480984340044742
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0304499130002485
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0251056425553069
1.0,0.25,0.0,0.0,1.0,0.0,0.05,0.0082028337061894
1.0,0.25,1.0,0.0,0.0,0.0,0.15,0.1204325130499627
1.0,0.75,1.0,0.5,0.0,0.1666666666666666,0.05,0.002361421824509
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0635098185433755
1.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0512884248902146
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.0067528378490347
0.0,0.75,1.0,0.5,0.0,0.0,0.05,0.1926423067362664
1.0,0.25,1.0,0.0,1.0,0.1666666666666666,0.1,0.0819454801557709
1.0,0.5,0.0,0.5,0.0,0.0,0.05,0.0624326787637749
0.0,0.25,0.0,0.0,0.0,0.0,0.15,0.0432513049962714
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1904880271770652
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0291656309553401
1.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0101913994531444
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0069599801143425
0.0,0.5,1.0,0.5,0.0,0.0,0.15,0.0334741900737426
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0836026182782335
1.0,1.0,1.0,0.5,0.0,0.1666666666666666,0.05,0.003314276244925
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0654155273842074
0.0,0.75,0.0,0.5,0.0,0.1666666666666666,0.15,0.0496727152208136
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0459855828983345
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0173999502858563
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.15,0.0164470958654403
0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0156185268042091
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1459110116828237
0.0,0.25,0.0,0.0,1.0,0.0,0.05,0.0512884248902146
0.0,0.75,0.0,0.0,0.0,0.0,0.05,0.1360924683072334
0.0,0.5,1.0,0.0,1.0,0.0,0.05,0.0679012345679012
