gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,sum_click
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.1159168116662523
1.0,0.25,1.0,0.0,1.0,0.1666666666666666,0.05,0.0218327947634435
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05,0.0020714226530781
0.0,0.25,1.0,0.0,1.0,0.0,0.15,0.0295799154859557
1.0,0.5,0.0,0.5,0.0,0.0,0.15,0.0249399287430607
1.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.05,0.0031899908857403
0.0,0.5,0.0,0.5,0.0,0.0,0.15,0.029455630126771
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0378656060982682
1.0,0.25,1.0,0.0,1.0,0.0,0.05,0.0178142348164719
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05,0.0432098765432098
0.0,0.5,1.0,0.0,0.0,0.0,0.1,0.0190985168613803
0.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.15,0.0036457038694175
0.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0331013339961885
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0118485375756069
0.0,0.25,1.0,0.0,0.0,0.0,0.1,0.0279642058165548
1.0,0.75,1.0,0.5,0.0,0.0,0.05,0.048305576269782
0.0,0.5,1.0,0.0,1.0,0.0,0.05,0.0036457038694175
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0583312619106802
0.0,0.5,0.0,0.5,0.0,0.0,0.15,0.0090314027674206
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0033557046979865
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0079956914408815
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0399784572044079
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0192642306736266
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.051909851686138
1.0,0.75,0.0,0.0,0.0,0.0,0.15,0.0157428121633938
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0067942663020962
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0118485375756069
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0246913580246913
0.0,0.5,1.0,0.5,0.0,0.0,0.15,0.0533184190902311
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.05,0.01723423647361
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0067114093959731
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0333084762614964
0.0,0.5,1.0,0.0,0.0,0.0,0.1,0.00132571049797
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0118899660286684
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0194713729389344
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0141271024939928
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0741155025271356
0.0,0.25,0.0,0.0,0.0,0.0,0.15,0.0104813986245753
0.0,0.5,1.0,0.5,0.0,0.0,0.15,0.0694755157842406
1.0,0.5,1.0,0.5,0.0,0.0,0.05,0.003024277073494
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0273013505675698
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0720440798740575
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0111856823266219
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1026182782334907
0.0,0.5,0.0,0.0,1.0,0.0,0.15,0.0328941917308807
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0393156019554229
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0137956748695003
0.0,0.25,1.0,0.0,0.0,0.0,0.15,0.0033971331510481
0.0,0.5,0.0,0.5,1.0,0.0,0.2,0.0044742729306487
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0039357030408484
0.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0113513961388681
0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.05,0.0462755820697655
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.05,0.0049299859143259
0.0,0.25,1.0,0.0,1.0,0.0,0.05,0.0229513629961057
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0372027508492832
0.0,0.5,1.0,0.0,1.0,0.1666666666666666,0.05,0.2203165133813903
0.0,0.75,0.0,0.5,0.0,0.0,0.1,0.024815643383876
0.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0792526307067694
0.0,0.25,0.0,0.5,0.0,0.0,0.15,0.0012842820449084
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.1149225287927748
0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.05,0.012594249730715
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0273427790206313
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0138785317756234
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0267627806777694
1.0,0.5,0.0,0.5,0.0,0.0,0.05,0.0352970420084514
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0679426630209628
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0157842406164553
0.0,0.5,1.0,0.5,0.0,0.0,0.15,0.0540641312453393
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0633441047311293
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0172756649266716
0.0,0.75,1.0,0.0,0.0,0.0,0.15,0.0110613969674372
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0200927997348579
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0082028337061894
0.0,0.5,0.0,0.0,1.0,0.0,0.15,0.0270113513961388
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0070842654735272
0.0,0.25,1.0,0.0,1.0,0.0,0.05,0.0003314276244925
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0850111856823266
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0110199685143756
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0145413870246085
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0589941171596652
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0833954760129256
1.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0408484547187008
0.0,0.5,0.0,0.5,1.0,0.1666666666666666,0.05,0.0057585549755572
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0066699809429115
0.0,0.75,0.0,0.0,0.0,0.0,0.05,0.0510398541718452
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0026928494490015
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0193470875797497
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0132571049797
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05,0.0427955920125942
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0006214267959234
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0132571049797
1.0,0.25,0.0,0.5,0.0,0.0,0.15,0.0437484464330101
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0234070759797829
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0037699892286022
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0384870328941917
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0152042422735935
0.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.05,0.0278813489104316
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0480155770983511
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.2542878448918717
0.0,0.5,0.0,0.0,1.0,0.0,0.05,0.0378241776452067
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0300770569226945
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0278399204573701
0.0,0.25,0.0,0.5,0.0,0.0,0.1,0.0266799237716463
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0038942745877868
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0794597729720772
1.0,0.25,1.0,0.5,1.0,0.0,0.05,0.0258927831634766
0.0,0.25,0.0,0.0,0.0,0.0,0.15,0.1937194465158671
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0001657138122462
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0353384704615129
0.0,0.25,0.0,0.5,0.0,0.0,0.15,0.0038942745877868
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0108542547021294
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0043085591184025
0.0,0.25,0.0,0.0,1.0,0.0,0.05,0.0378656060982682
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0355456127268207
0.0,0.25,1.0,0.0,0.0,0.0,0.15,0.0379898914574529
1.0,0.5,1.0,0.0,1.0,0.0,0.05,0.01060568398376
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.15,0.0189328030491341
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0022785649183859
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0087828320490512
0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.05,0.0214185102328279
0.0,0.75,1.0,0.5,0.0,0.1666666666666666,0.15,0.0220399370287513
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0011185682326621
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0296213439390173
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0116828237633606
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0456955837269036
0.0,0.75,1.0,0.0,0.0,0.0,0.05,0.0571298367718949
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15,0.0154113845389013
1.0,0.75,1.0,0.0,1.0,0.3333333333333333,0.2,0.0082442621592509
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.00397713149391
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0100256856408981
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.1349739000745712
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0335984754329273
0.0,0.25,1.0,0.5,0.0,0.0,0.15,0.0005385698898003
0.0,0.75,0.0,0.5,0.0,0.0,0.05,0.0263484961471538
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0064214102245422
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.067445521584224
0.0,0.25,0.0,0.5,0.0,0.0,0.075,0.0239870743226447
0.0,0.25,1.0,0.5,0.0,0.0,0.05,0.01988565746955
0.0,0.5,1.0,0.0,1.0,0.0,0.05,0.0621841080454055
0.0,0.75,1.0,0.5,0.0,0.0,0.15,0.0656640981025768
0.0,0.25,0.0,0.0,0.0,0.0,0.15,0.019512801391996
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0848454718700803
0.0,0.25,0.0,0.5,0.0,0.3333333333333333,0.15,0.0555141271024939
0.0,0.75,1.0,0.5,0.0,0.1666666666666666,0.05,0.049631286767752
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0057585549755572
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0199685143756732
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0029414201673709
0.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.05,0.0499627143922445
0.0,0.75,1.0,0.0,0.0,0.0,0.15,0.0441213025105642
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0126771066368381
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0356698980860054
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0586212610821111
1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0085342613306819
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15,0.0149556715552241
0.0,0.75,1.0,0.0,1.0,0.0,0.05,0.0186013754246416
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0212942248736432
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0072085508327119
0.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0690612312536249
0.0,0.5,1.0,0.5,0.0,0.1666666666666666,0.05,0.0042257022122793
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0206313696246582
0.0,0.75,0.0,0.0,0.0,0.0,0.05,0.0536912751677852
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15,0.0271356367553235
0.0,0.75,1.0,0.5,0.0,0.0,0.05,0.0732869334659043
0.0,0.25,0.0,0.5,0.0,0.0,0.05,0.0202999420001657
0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0025685640898168
