id_student,code_module,code_presentation,weighted_score
11391,AAA,2013J,82.4
28400,AAA,2013J,65.4
31604,AAA,2013J,76.3
32885,AAA,2013J,55.0
38053,AAA,2013J,66.9
45462,AAA,2013J,67.8
45642,AAA,2013J,72.5
52130,AAA,2013J,71.2
53025,AAA,2013J,79.0
57506,AAA,2013J,74.0
58873,AAA,2013J,73.7
59185,AAA,2013J,80.8
62155,AAA,2013J,76.4
63400,AAA,2013J,71.2
65002,AAA,2013J,67.33333333333333
65002,AAA,2014J,67.33333333333333
70464,AAA,2013J,53.5
71361,AAA,2013J,79.7
74372,AAA,2013J,46.857142857142854
75091,AAA,2013J,65.8
77367,AAA,2013J,69.5
91265,AAA,2013J,69.0
94961,AAA,2013J,74.0
94961,AAA,2014J,61.7
98094,AAA,2013J,60.6
100893,AAA,2013J,68.7
101781,AAA,2013J,71.6
102806,AAA,2013J,76.0
102952,AAA,2013J,77.1
104476,AAA,2013J,78.9
106247,AAA,2013J,58.6
106577,AAA,2013J,54.2
110175,AAA,2013J,63.7
111717,AAA,2013J,81.5
113295,AAA,2013J,77.3
114017,AAA,2013J,72.3
114999,AAA,2013J,70.8
116541,AAA,2013J,59.8
116692,AAA,2013J,74.2
118983,AAA,2013J,59.0
123044,AAA,2013J,70.7
127582,AAA,2013J,69.4
129955,AAA,2013J,80.2
129955,AAA,2014J,80.2
132976,AAA,2013J,67.3
134143,AAA,2013J,83.8
135400,AAA,2013J,58.0
135400,AAA,2014J,48.4
137873,AAA,2013J,81.7
141355,AAA,2013J,72.0
141377,AAA,2013J,45.0
141377,AAA,2014J,47.0
142326,AAA,2013J,75.3
144801,AAA,2013J,70.6
145130,AAA,2013J,53.2
146188,AAA,2013J,48.8
147756,AAA,2013J,73.28571428571429
147756,AAA,2014J,64.5
147793,AAA,2013J,52.0
148993,AAA,2013J,72.8
148993,AAA,2014J,84.0
151358,AAA,2013J,49.6
155550,AAA,2013J,66.0
155854,AAA,2013J,79.4
155984,AAA,2013J,78.33333333333333
155984,AAA,2014J,79.0
157568,AAA,2013J,68.6
159954,AAA,2013J,67.0
159954,AAA,2014J,70.2
164259,AAA,2013J,70.4
167906,AAA,2013J,70.9
168936,AAA,2013J,64.9
172112,AAA,2013J,71.1
172797,AAA,2013J,61.4
174782,AAA,2013J,80.1
175392,AAA,2013J,81.7
175932,AAA,2013J,78.8
175991,AAA,2013J,36.0
180753,AAA,2013J,51.7
181316,AAA,2013J,76.0
183096,AAA,2013J,54.0
183947,AAA,2013J,46.6
184271,AAA,2013J,58.7
185439,AAA,2013J,74.0
186149,AAA,2013J,75.6
187100,AAA,2013J,89.4
188278,AAA,2013J,76.0
188278,AAA,2014J,69.6
189879,AAA,2013J,78.8
192183,AAA,2013J,66.7
200860,AAA,2013J,50.8
202635,AAA,2013J,66.4
205350,AAA,2013J,72.2
205719,AAA,2013J,54.6
227499,AAA,2013J,83.5
227517,AAA,2013J,61.7
228082,AAA,2013J,74.8
228222,AAA,2013J,60.7
229179,AAA,2013J,65.1
229361,AAA,2013J,77.5
231554,AAA,2013J,66.0
235507,AAA,2013J,65.0
235507,AAA,2014J,56.3
236284,AAA,2013J,75.5
238007,AAA,2013J,79.5
240712,AAA,2013J,74.2
240884,AAA,2013J,56.4
241649,AAA,2013J,78.8
241729,AAA,2013J,59.6
242793,AAA,2013J,79.2
246834,AAA,2013J,54.8
248270,AAA,2013J,78.9
255548,AAA,2013J,68.4
256815,AAA,2013J,77.7
258392,AAA,2013J,59.1
258894,AAA,2013J,64.4
260355,AAA,2013J,35.0
262011,AAA,2013J,72.1
262934,AAA,2013J,76.0
268073,AAA,2013J,75.5
268733,AAA,2013J,40.333333333333336
271251,AAA,2013J,76.9
277880,AAA,2013J,67.2
277880,AAA,2014J,67.2
279572,AAA,2013J,79.6
281022,AAA,2013J,73.8
281250,AAA,2013J,54.3
282821,AAA,2013J,58.8
286488,AAA,2013J,73.5
287548,AAA,2013J,67.9
