code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,sum_click,weighted_score
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934,82.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435,65.4
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158,76.3
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034,55.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445,66.9
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492,67.8
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428,72.5
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894,71.2
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158,79.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319,74.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319,74.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319,74.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319,74.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319,74.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732,73.7
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732,73.7
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732,73.7
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732,73.7
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732,73.7
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102,80.8
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102,80.8
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102,80.8
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102,80.8
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388,76.4
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388,76.4
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388,76.4
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388,76.4
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737,71.2
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737,71.2
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737,71.2
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737,71.2
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,171,67.33333333333333
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,171,67.33333333333333
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,171,67.33333333333333
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,171,67.33333333333333
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053,53.5
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053,53.5
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053,53.5
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053,53.5
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327,79.7
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327,79.7
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327,79.7
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327,79.7
