,final_result
4993,1.0
5053,1.0
1342,0.0
869,1.0
3654,1.0
2132,0.0
743,0.0
4008,1.0
2210,0.0
2564,1.0
1255,1.0
3413,0.0
1561,0.0
1171,0.0
3920,0.0
3487,1.0
1010,1.0
2065,1.0
1046,1.0
4798,1.0
3092,1.0
4783,0.0
5252,1.0
3623,0.0
4067,0.0
3379,1.0
3336,1.0
1157,0.0
2842,0.0
3824,0.0
2216,1.0
1505,0.0
5091,1.0
3700,0.0
2005,0.0
4387,1.0
2223,1.0
3084,0.0
2332,1.0
1087,0.0
4512,0.0
1593,1.0
3331,0.0
5173,1.0
1498,1.0
4166,0.0
1773,0.0
3831,0.0
2641,1.0
3880,1.0
5246,0.0
1974,1.0
3214,1.0
3604,1.0
1378,0.0
4678,1.0
585,1.0
2415,0.0
4236,1.0
1757,0.0
815,1.0
5123,1.0
3793,0.0
2616,0.0
2268,1.0
1513,1.0
4879,0.0
5239,0.0
4239,1.0
4155,1.0
1152,0.0
1569,1.0
2989,0.0
3873,1.0
3316,0.0
4350,0.0
1746,0.0
2803,0.0
4765,1.0
2757,1.0
4576,0.0
2984,0.0
897,0.0
1146,0.0
2915,0.0
958,1.0
3315,1.0
2370,1.0
5286,1.0
1682,1.0
3400,1.0
2099,1.0
2361,1.0
1390,0.0
4469,1.0
2676,0.0
1151,0.0
2783,0.0
3800,1.0
3608,1.0
3701,1.0
3319,0.0
2917,1.0
4608,0.0
3677,0.0
762,0.0
3893,1.0
3921,0.0
1806,1.0
4823,1.0
2399,0.0
3376,1.0
1371,0.0
785,0.0
1574,1.0
929,1.0
2498,1.0
3112,1.0
3536,0.0
2689,0.0
4638,1.0
4654,1.0
3658,0.0
4273,1.0
2049,0.0
4320,1.0
2437,0.0
4932,1.0
2593,1.0
2978,0.0
4174,1.0
1406,1.0
3330,0.0
1480,1.0
1469,1.0
4730,0.0
2357,0.0
1285,1.0
2610,0.0
4891,1.0
2133,0.0
2717,1.0
4452,1.0
5038,1.0
3347,1.0
4814,1.0
1550,0.0
744,0.0
3892,0.0
4298,1.0
2239,0.0
2119,1.0
2649,0.0
5041,1.0
1618,1.0
4587,1.0
2115,1.0
1070,0.0
4973,1.0
590,0.0
1287,1.0
2176,1.0
2231,1.0
3935,1.0
4887,0.0
1072,1.0
2141,1.0
655,1.0
3576,0.0
964,1.0
2061,1.0
2104,1.0
5264,0.0
4763,0.0
5178,0.0
2997,1.0
4176,1.0
4542,1.0
4982,0.0
1681,1.0
3904,1.0
1475,1.0
2296,1.0
3323,0.0
1432,1.0
1323,1.0
1207,1.0
1257,1.0
2444,1.0
4732,1.0
3513,1.0
4923,1.0
2970,1.0
1864,0.0
909,0.0
4695,0.0
852,1.0
2745,1.0
1565,1.0
5185,1.0
1239,1.0
954,1.0
2110,1.0
4558,0.0
4931,1.0
3956,0.0
1526,1.0
3481,1.0
1963,1.0
2621,0.0
3412,0.0
4863,0.0
2452,1.0
2825,0.0
1472,1.0
5265,1.0
5065,0.0
1945,1.0
3176,1.0
2211,1.0
4641,1.0
2166,1.0
1299,1.0
4943,1.0
2027,0.0
2515,1.0
1741,0.0
4312,1.0
1768,1.0
1555,0.0
764,1.0
1537,0.0
2252,1.0
4955,0.0
3455,0.0
4921,0.0
1614,1.0
4257,1.0
4232,1.0
3712,1.0
1522,1.0
2881,0.0
5228,1.0
2128,1.0
1136,1.0
2330,1.0
3787,1.0
3527,0.0
2019,0.0
3343,0.0
3808,1.0
1032,0.0
4007,0.0
1927,1.0
3020,0.0
3524,1.0
4719,1.0
843,1.0
3120,1.0
1380,1.0
3535,1.0
4447,1.0
3559,1.0
4504,1.0
5162,1.0
3488,1.0
1461,1.0
4147,1.0
3730,1.0
945,1.0
2306,1.0
1214,0.0
5069,1.0
4184,1.0
3128,1.0
3785,1.0
3811,0.0
1083,1.0
2774,1.0
561,1.0
3200,0.0
2857,1.0
1385,1.0
4997,0.0
4578,1.0
4607,1.0
2724,1.0
4590,1.0
2256,1.0
5257,0.0
679,0.0
3387,1.0
1933,0.0
1104,0.0
4518,1.0
2804,1.0
3963,1.0
2750,1.0
1892,1.0
4464,1.0
1998,1.0
3583,0.0
2372,1.0
4744,1.0
3871,1.0
1434,0.0
5145,1.0
1978,1.0
2620,0.0
1310,1.0
1309,0.0
3401,1.0
671,1.0
2028,1.0
3354,0.0
4271,1.0
2909,1.0
724,0.0
4825,1.0
2654,1.0
4509,1.0
2792,1.0
1322,0.0
4659,1.0
4757,1.0
3086,1.0
1759,1.0
3695,0.0
2416,0.0
3756,0.0
3297,0.0
770,1.0
3361,1.0
2849,0.0
2646,0.0
2460,1.0
3719,1.0
5238,0.0
1242,1.0
942,1.0
3233,1.0
687,1.0
3100,0.0
2951,1.0
2245,0.0
5294,1.0
4326,1.0
3758,0.0
3798,0.0
2140,1.0
1102,0.0
1384,1.0
5197,1.0
2266,1.0
956,1.0
4365,1.0
3490,1.0
1121,1.0
1921,0.0
2057,1.0
2959,0.0
4481,1.0
3027,0.0
4474,0.0
3882,0.0
2586,0.0
2497,1.0
2867,1.0
2980,1.0
4611,1.0
2407,0.0
674,1.0
2811,1.0
2125,0.0
2199,0.0
5222,0.0
1175,0.0
1456,1.0
2201,0.0
4853,1.0
5301,1.0
2516,1.0
3738,0.0
5233,1.0
3371,1.0
1340,1.0
5116,1.0
3641,0.0
2181,1.0
3119,0.0
3213,1.0
1375,0.0
700,0.0
4209,1.0
1079,1.0
5261,0.0
5009,1.0
2436,1.0
1744,1.0
3839,1.0
3851,1.0
998,1.0
1950,1.0
5047,1.0
1273,0.0
2131,0.0
3239,0.0
598,1.0
3564,0.0
4003,0.0
4382,0.0
643,1.0
3508,0.0
2779,1.0
1946,0.0
2272,0.0
1233,0.0
4162,1.0
3684,1.0
4942,1.0
4242,1.0
3493,1.0
1354,0.0
4214,1.0
2577,1.0
4128,1.0
3062,0.0
2240,1.0
2136,1.0
2339,1.0
4859,0.0
2617,1.0
3854,1.0
3802,0.0
1948,1.0
1777,1.0
1824,0.0
1143,1.0
2189,0.0
3696,0.0
1687,0.0
3763,0.0
4308,1.0
3305,1.0
575,1.0
2203,0.0
2770,1.0
932,1.0
1700,0.0
4423,1.0
2264,1.0
5113,0.0
3258,0.0
4660,1.0
5166,0.0
1103,0.0
2494,0.0
3764,1.0
4712,1.0
861,0.0
3318,0.0
3035,1.0
4722,0.0
3161,0.0
3659,1.0
2100,1.0
2910,1.0
2872,1.0
4478,0.0
1788,0.0
2625,0.0
3162,1.0
4299,0.0
5175,1.0
3714,1.0
1445,1.0
4534,0.0
3540,1.0
4381,1.0
4270,1.0
3794,0.0
2475,0.0
2325,1.0
1226,0.0
4707,1.0
3094,0.0
4289,1.0
2248,1.0
2350,0.0
2754,1.0
1531,0.0
4734,1.0
3934,0.0
1709,0.0
4044,1.0
5184,0.0
3877,1.0
780,0.0
4059,0.0
1814,1.0
2796,0.0
2704,1.0
644,1.0
3838,0.0
2461,1.0
2743,1.0
4662,1.0
3439,1.0
3625,0.0
591,1.0
2234,1.0
4434,1.0
603,0.0
834,1.0
661,1.0
4437,1.0
2501,1.0
608,0.0
3612,0.0
1990,1.0
3151,1.0
4424,1.0
3541,1.0
1203,1.0
3006,0.0
1462,0.0
1379,1.0
774,1.0
3457,0.0
3450,0.0
1534,1.0
1604,0.0
688,0.0
1976,0.0
1352,0.0
4125,1.0
4831,1.0
4199,1.0
868,1.0
935,1.0
3242,0.0
3690,1.0
3974,1.0
5223,1.0
3530,1.0
2537,1.0
1607,0.0
5103,0.0
3240,0.0
4465,1.0
2528,0.0
1117,0.0
3324,0.0
3593,0.0
1001,1.0
1496,1.0
709,0.0
593,0.0
4357,1.0
1567,1.0
4947,1.0
859,1.0
1844,0.0
3302,1.0
3561,1.0
4655,1.0
5133,1.0
3930,1.0
4413,1.0
918,0.0
1178,1.0
2687,1.0
4438,0.0
1335,0.0
2033,1.0
2448,1.0
2967,0.0
3596,1.0
4368,1.0
2847,1.0
2254,0.0
4614,0.0
3150,1.0
1018,0.0
1952,1.0
4183,1.0
5000,1.0
3767,1.0
567,0.0
4225,1.0
853,1.0
3967,0.0
1754,0.0
4041,0.0
5277,0.0
1005,0.0
3632,0.0
1582,1.0
950,0.0
3156,0.0
4119,1.0
5030,0.0
4317,1.0
2950,1.0
3557,0.0
2665,1.0
3776,0.0
1821,0.0
611,1.0
1280,0.0
5296,0.0
4577,1.0
1500,1.0
838,1.0
4888,1.0
3278,1.0
4034,0.0
